n,Sr No,Folder,Picture,Composition,composition_final,Element,Fraction,Frac,H2_W%,Pressure,Temperature,Che_pot,AN,Period,AR,Cr,VWR,EN,Density,EA,MP,BP,VEC,FIE,TC,BM,HF,MV,Mass,SH,M-M_Eng,M-M_Bond,M-H_Bond,M-H_Eng,formation_H,en_at_H,formation_M,en_at_M,vol_H,vol_M,vol_diff,EN.Diff,M-H.EN.Diff,Atomic.Size.Diff,dSmix,ele_lst,frac_lst,Element_corrected,frac_corrected,composition_final
0,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.198598614256496,0.0183943831153664,584,-4110.57659763784,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
1,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.205516588424555,0.0202027353170127,584,-3882.91489710301,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
2,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.211761987313078,0.0221968109304954,584,-3654.38412650927,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
3,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.218008490548792,0.0244095471149909,584,-3423.68026573962,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
4,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.224255151548389,0.0268462971950308,584,-3192.66596351629,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
5,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.230500865964681,0.0295036582040111,584,-2963.51431001515,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
6,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.236746422617089,0.032419910367603,584,-2734.67309796772,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
7,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.242993399144455,0.0356654368147294,584,-2503.03791283697,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
8,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.249239744616285,0.0392158067275875,584,-2272.64449352103,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
9,1,PCI,55.pdf-003.jpg,LaMg 2 Ni,La0.25Mg0.5Ni0.25,La Mg Ni,0.25 0.5 0.25,0.25 0.5 0.25,0.255484985740923,0.0430810251734579,584,-2044.424164381,27.25,4,1.5825,137.5,222.5,1.4075,4.635,0.4075,1190.25,2375.5,4.25,7.13,106,74.5,10.225,14.2875,61.555,670,-2.155,2.9125,1.77,-3.435,-0.36,-3.885,0.005,-3.475,44.4025,62.595,-0.415,0.3025,-0.7925,14.11,8.6448,"['La', 'Mg', 'Ni']","['0.25', '0.5', '0.25']","['La', 'Mg', 'Ni']",[0.25 0.5 0.25],La0.25Mg0.5Ni0.25
